country,year,fossil_electricity,renewables_electricity,population,gdp,pc1,pc2,pc3,class,elec_sum
China,2010,3398.282,752.445,1368811008,12600000000000.0,14.793218757775293,5.1885662040265155,-1.2829922173610244,1,4150.727
China,2011,3866.0,766.2,1376498048,13700000000000.0,15.74438146320703,4.853943873570445,-1.297894030012216,1,4632.2
China,2012,3893.9,994.28,1384205952,14300000000000.0,16.944099328260332,4.262026203577991,-1.7378593577760606,1,4888.18
China,2013,4183.3,1077.38,1391883008,15000000000000.0,17.87021661310609,3.881245131901244,-1.9563246116781825,1,5260.68
China,2014,4181.3,1290.0,1399453952,15900000000000.0,19.040670698407894,3.327497708927797,-2.2002528373949235,1,5471.3
China,2015,4176.8,1391.8,1406848000,16400000000000.0,19.62674277381591,3.0878299484325513,-2.2886023553814994,1,5568.6
China,2016,4261.9,1547.7,1414049024,16900000000000.0,20.559006177072973,2.6514740579139553,-2.613716594029385,1,5809.599999999999
China,2017,4506.4,1694.2,1421021952,16900000000000.0,21.524058244246582,2.172867683856739,-3.2633199817503336,1,6200.599999999999
China,2018,4831.3,1870.5,1427648000,16900000000000.0,22.718031314875947,1.5652407455670145,-4.071279669298137,1,6701.8
China,2019,4934.742,2043.258,1433784064,16900000000000.0,23.616553839566475,1.0981008174167464,-4.667759785979395,1,6978.0
China,2020,5044.957,2212.54,1433784064,16900000000000.0,24.487888906657886,0.5907267596484892,-5.2548437528614285,1,7257.497
North Korea,1985,3171.953,1253.811,18877000,48282685440.0,8.966246939012223,-5.105284407882673,-6.50347158572151,1,4425.764
North Korea,1986,3171.953,1253.811,19157000,48971583488.0,8.96736346656732,-5.10326835860545,-6.503438757290033,1,4425.764
North Korea,1987,3171.953,1253.811,19432000,49653297152.0,8.968461347653733,-5.1012886383884055,-6.503404394636006,1,4425.764
North Korea,1988,3171.953,1253.811,19708000,50351644672.0,8.969566793454375,-5.0993026269519826,-6.503364041769324,1,4425.764
North Korea,1989,3171.953,1253.811,19994000,51041517568.0,8.970703766966777,-5.09724249243286,-6.503336222791074,1,4425.764
North Korea,1990,3171.953,1253.811,20293000,48857440256.0,8.971159178127497,-5.094902396044931,-6.504510989811954,1,4425.764
North Korea,1991,3171.953,1253.811,20609000,46704373760.0,8.971679648932048,-5.092439203083051,-6.505688245064434,1,4425.764
North Korea,1992,3171.953,1253.811,20937000,43380736000.0,8.971945090280231,-5.089812645067383,-6.507361367852579,1,4425.764
North Korea,1993,3171.953,1253.811,21266000,41444085760.0,8.972563946821063,-5.087267677548764,-6.508460677359723,1,4425.764
North Korea,1994,3171.953,1253.811,21578000,40579162112.0,8.973396053084576,-5.08491652590724,-6.509100565687929,1,4425.764
