country,year,fossil_electricity,renewables_electricity,population,gdp,pc1,pc2,pc3,class,elec_sum
China,1985,318.302,92.388,1075588992,2430000000000.0,4.509361327161048,7.275736142287309,-0.5398171784049076,3,410.69000000000005
China,1986,354.981,94.549,1095014016,2570000000000.0,4.665567422647906,7.38172671509437,-0.5388158075340997,3,449.53
China,1987,397.243,100.024,1116094976,2720000000000.0,4.8512373878597685,7.487241299196947,-0.5497645939125803,3,497.267
China,1988,436.042,109.168,1137724032,2830000000000.0,5.0401843606628045,7.591921284919017,-0.5851996706510173,3,545.21
China,1989,466.401,118.409,1158356992,2810000000000.0,5.182775476796588,7.702497207535168,-0.666227864503839,3,584.8100000000001
China,1990,494.388,126.812,1176883968,2790000000000.0,5.311666504987864,7.801201431449133,-0.740793316685266,3,621.1999999999999
China,1991,552.786,124.764,1192897024,2930000000000.0,5.465477033216644,7.879804978034341,-0.744299121978537,3,677.55
China,1992,623.007,130.933,1206711040,3180000000000.0,5.69008041945557,7.906603099216733,-0.7346088709392802,3,753.9399999999999
China,1993,657.806,152.179,1218817024,3530000000000.0,5.954892266044211,7.8967842518885965,-0.6932020969566448,3,809.985
China,1994,744.761,168.278,1230019968,3730000000000.0,6.222110553422482,7.871560110182509,-0.7456252664961389,3,913.039
China,1995,799.979,194.217,1240920960,3970000000000.0,6.5010932562184385,7.8352880563400085,-0.7807342295487306,3,994.196
China,1996,877.363,189.606,1251635968,4250000000000.0,6.685179934790822,7.861032430779663,-0.7312927195768137,3,1066.969
China,1997,922.219,198.911,1261996032,4350000000000.0,6.841977490296875,7.879329160833847,-0.766660690452378,3,1121.13
China,1998,951.158,201.74,1271981952,4400000000000.0,6.9368500706083225,7.924615805215503,-0.7893383458662713,3,1152.8980000000001
China,1999,1024.758,199.591,1281515008,4700000000000.0,7.127903905513852,7.9362826336450505,-0.7341960781856974,3,1224.3490000000002
China,2000,1079.952,223.246,1290551040,5120000000000.0,7.436119811822314,7.880699305419594,-0.6864429494798973,3,1303.198
China,2001,1169.465,277.869,1299129984,5580000000000.0,7.93009276867066,7.717747687435162,-0.7419413948992278,3,1447.3339999999998
China,2002,1320.534,288.437,1307352064,6110000000000.0,8.327239049446945,7.624762522494176,-0.6971658272972712,3,1608.971
China,2003,1532.583,284.368,1315303936,6570000000000.0,8.719130339756234,7.535204001154286,-0.694336323164795,3,1816.951
China,2004,1759.211,353.823,1323085056,7220000000000.0,9.494984036215016,7.232113090159491,-0.8374193266246319,3,2113.034
China,2005,1973.427,397.67,1330776064,8230000000000.0,10.23493833933044,6.979429695857464,-0.7463040021196182,3,2371.0969999999998
China,2006,2304.524,421.243,1338408960,9050000000000.0,10.985957887225064,6.7200422636154125,-0.7815263150512493,3,2725.767
China,2007,2684.537,479.672,1345993984,9820000000000.0,11.936582152004592,6.3430674735825665,-0.9820885085848705,3,3164.209
China,2008,2768.494,593.638,1353569024,10200000000000.0,12.656868123255567,6.026911942303524,-1.2355573662230521,3,3362.132
China,2009,2993.042,611.807,1361169024,11100000000000.0,13.27059732167098,5.841100529890575,-1.1254188326861287,3,3604.849
India,1985,130.065,51.813,784360000,771000000000.0,2.6978677480763307,5.45944711898632,-0.677013050632753,3,181.878
India,1986,145.088,52.569,801974976,813000000000.0,2.7899341039386663,5.575247935738175,-0.6913027818173754,3,197.65699999999998
India,1987,169.386,48.963,819681984,862000000000.0,2.8768585129547573,5.696972120659469,-0.6986345699740693,3,218.349
India,1988,180.613,54.615,837468992,940000000000.0,2.9950091268325973,5.801309136442927,-0.7088085731022005,3,235.228
India,1989,205.055,63.37,855334976,1010000000000.0,3.1414551069531913,5.890621719928562,-0.7432829211752917,3,268.425
India,1990,214.903,66.465,873278016,1080000000000.0,3.245309858816677,6.00410966429769,-0.7483039066927301,3,281.368
India,1991,240.917,74.127,891273024,1110000000000.0,3.379340576033636,6.098821922891406,-0.7977496137706785,3,315.044
India,1992,260.481,70.269,909307008,1180000000000.0,3.465622292787226,6.225143888325314,-0.7916562756583071,3,330.75
India,1993,284.87,71.079,927404032,1270000000000.0,3.583436683910863,6.335568450813581,-0.7951411463037976,3,355.949
India,1994,302.238,80.784,945601984,1340000000000.0,3.72621731467913,6.429161478978324,-0.8262331745327889,3,383.022
