year,coal_production,gas_production,oil_production,gdp
1900,1829.396,73.84,98.646,478000000000.0
1901,1989.595,81.828,107.601,531000000000.0
1902,2075.751,89.816,137.641,537000000000.0
1903,2424.12,97.803,155.784,563000000000.0
1904,2386.546,105.791,181.556,556000000000.0
1905,2664.029,113.779,208.898,597000000000.0
1906,2809.429,121.766,196.152,666000000000.0
1907,3258.536,129.754,257.558,676000000000.0
1908,2820.87,137.742,276.841,621000000000.0
1909,3125.93,145.729,284.04,697000000000.0
1910,3402.568,153.717,324.954,704000000000.0
1911,3367.125,162.003,341.841,727000000000.0
1912,3625.548,170.29,345.702,761000000000.0
1913,3866.316,178.576,385.256,791000000000.0
1914,3483.497,186.862,412.109,730000000000.0
1915,3605.598,195.149,435.893,750000000000.0
1916,4002.22,203.435,466.363,854000000000.0
1917,4418.015,211.722,519.978,833000000000.0
1918,4600.645,220.008,551.925,908000000000.0
1919,3757.728,228.294,605.912,916000000000.0
1920,4465.332,236.581,722.479,907000000000.0
1921,3435.125,244.867,752.671,886000000000.0
1922,3235.393,253.153,888.707,935000000000.0
1923,4462.887,296.523,1167.316,1060000000000.0
1924,3877.54,339.893,1140.02,1090000000000.0
1925,3947.784,383.263,1216.755,1120000000000.0
1926,4462.207,426.633,1238.294,1190000000000.0
1927,4055.572,470.003,1436.143,1200000000000.0
1928,3907.921,513.372,1437.376,1210000000000.0
1929,4129.906,536.523,1606.151,1290000000000.0
1930,3642.133,559.673,1431.852,1170000000000.0
1931,2996.502,582.824,1357.024,1100000000000.0
1932,2439.105,605.975,1251.912,944000000000.0
1933,2599.244,629.125,1425.095,917000000000.0
1934,2825.566,652.276,1429.689,1000000000000.0
1935,2882.296,675.426,1566.272,1130000000000.0
1936,3351.753,698.577,1728.289,1250000000000.0
1937,3376.998,721.727,2010.422,1350000000000.0
1938,2679.775,783.132,1908.566,1280000000000.0
1939,3030.51,844.537,1988.104,1380000000000.0
1940,3477.549,905.942,2126.815,1500000000000.0
1941,3872.603,967.347,2203.84,1720000000000.0
1942,4364.578,1028.752,2179.347,1920000000000.0
1943,4417.324,1090.157,2365.637,2110000000000.0
1944,4637.315,1151.562,2637.116,2280000000000.0
1945,4293.319,1212.967,2693.301,2250000000000.0
1946,4052.811,1274.371,2725.179,2050000000000.0
1947,4687.868,1406.014,2918.574,2030000000000.0
1948,4478.151,1579.692,3175.074,2140000000000.0
1949,3283.714,1663.166,2894.93,2110000000000.0
1950,3827.296,1927.677,3101.817,2320000000000.0
1951,3938.857,2288.231,3532.662,2500000000000.0
1952,3468.009,2458.843,3598.871,2590000000000.0
1953,3337.269,2576.68,3704.565,2710000000000.0
1954,2876.271,2682.846,3638.402,2690000000000.0
1955,3353.943,2885.988,3904.706,2880000000000.0
1956,3615.852,3093.726,4113.511,2940000000000.0
1957,3534.167,3277.232,4112.906,2990000000000.0
1958,2946.536,3384.634,3849.01,2960000000000.0
1959,2955.271,3696.402,4046.418,3180000000000.0
1960,2967.379,3918.866,4046.952,3260000000000.0
1961,2875.144,4044.993,4120.547,3340000000000.0
1962,3002.473,4234.937,4206.098,3540000000000.0
1963,3257.852,4500.672,4326.375,3690000000000.0
1964,3442.789,4755.462,4379.966,3910000000000.0
1965,0.0,0.0,4966.012,4160000000000.0
1966,0.0,0.0,5277.705,4430000000000.0
1967,0.0,0.0,5622.356,4540000000000.0
1968,0.0,0.0,5839.004,4760000000000.0
1969,0.0,0.0,5937.366,4900000000000.0
1970,0.0,5714.628,6194.415,4910000000000.0
1971,0.0,5876.611,6106.147,5070000000000.0
1972,0.0,5857.555,6129.37,5330000000000.0
1973,0.0,5852.228,5975.69,5640000000000.0
1974,0.0,5594.476,5705.778,5620000000000.0
1975,0.0,5180.419,5454.561,5610000000000.0
1976,0.0,5138.21,5317.659,5900000000000.0
1977,0.0,5160.631,5373.67,6170000000000.0
1978,0.0,5139.503,5622.17,6520000000000.0
1979,0.0,5295.421,5538.404,6740000000000.0
1980,0.0,5250.912,5575.583,6740000000000.0
1981,5116.42,5195.931,5559.366,6910000000000.0
1982,5189.365,4831.903,5581.736,6780000000000.0
1983,4801.779,4376.742,5607.737,7070000000000.0
1984,5490.18,4749.848,5760.702,7580000000000.0
1985,5380.469,4478.816,5790.525,7880000000000.0
1986,5431.781,4362.871,5600.386,8150000000000.0
1987,5607.641,4519.815,5425.415,8430000000000.0
1988,5773.727,4641.879,5330.224,8790000000000.0
1989,5947.052,4707.472,4981.555,9090000000000.0
1990,6260.932,4833.783,4837.393,9250000000000.0
1991,6023.964,4808.087,4910.305,9240000000000.0
1992,6040.031,4846.693,4795.763,9570000000000.0
1993,5661.807,4901.803,4609.69,9840000000000.0
1994,6181.454,5103.313,4499.302,10200000000000.0
1995,6161.261,5033.213,4453.489,10500000000000.0
1996,6345.184,5102.325,4436.121,10900000000000.0
1997,6489.811,5115.403,4411.646,11400000000000.0
1998,6694.609,5173.285,4274.396,11900000000000.0
1999,6485.762,5101.385,4094.383,12500000000000.0
2000,6329.963,5186.007,4035.804,13000000000000.0
2001,6555.926,5318.954,4000.131,13100000000000.0
2002,6329.058,5112.292,3969.896,13300000000000.0
2003,6151.267,5178.562,3861.328,13700000000000.0
2004,6362.43,5031.105,3777.759,14200000000000.0
2005,6455.167,4894.412,3587.699,14700000000000.0
2006,6623.424,5017.245,3535.623,15100000000000.0
2007,6540.794,5218.893,3541.119,15400000000000.0
2008,6640.646,5460.679,3509.138,15300000000000.0
2009,6020.428,5575.83,3745.589,14900000000000.0
2010,6135.833,5751.579,3868.106,15300000000000.0
2011,6186.834,6173.59,4017.97,15500000000000.0
2012,5756.814,6491.253,4586.456,15900000000000.0
2013,5568.718,6556.933,5207.037,16100000000000.0
2014,5647.9,7047.27,6088.943,16500000000000.0
2015,4996.511,7403.038,6583.66,16900000000000.0
2016,4083.578,7273.567,6297.521,17200000000000.0
2017,4350.382,7461.713,6663.882,0.0
2018,4277.455,8358.659,7798.318,0.0
2019,3972.48,9208.816,8670.215,0.0
2020,0.0,0.0,0.0,0.0
